,ObjectNum,Name,Type,Constellation,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Magnitude,Size,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
1,M3,NGC 5272  ,Globular Cluster,Canes Venatici,13,42.2,+,28,23.0,6.2,16.2,"33,900",True,66.58,118.6,17h27m,9h29m,9.6
4,M13,NGC 6205 Hercules Globular Cluster,Globular Cluster,Hercules,16,41.7,+,36,28.0,5.8,16.6,"22,800",True,38.33,72.18,19h34m,13h19m,13.44
13,M29,NGC 6913  ,Open Cluster,Cygnus,20,23.9,+,38,32.0,7.1,7.0,"4,000",True,5.64,40.78,22h58m,17h19m,17.44
15,M36,NGC 1960  ,Open Cluster,Auriga,5,36.1,+,34,8.0,6.3,12.0,"4,100",True,16.94,301.09,8h48m,2h00m,2.12
16,M37,NGC 2099  ,Open Cluster,Auriga,5,52.4,+,32,33.0,6.2,24.0,"4,400",True,18.51,297.58,9h14m,2h06m,2.22
17,M38,NGC 1912  ,Open Cluster,Auriga,5,28.7,+,35,50.0,7.4,21.0,"4,200",True,16.86,303.51,8h28m,2h05m,2.2
18,M52,NGC 7654  ,Open Cluster,Cassiopeia,23,24.2,+,61,35.0,7.3,13.0,"5,000",True,14.23,5.36,---,---,---
19,M53,NGC 5024  ,Globular Cluster,Coma Berenices,13,12.9,+,18,10.0,7.6,12.6,"56,400",True,62.37,145.49,17h46m,8h11m,8.3
22,M68,NGC 4590  ,Globular Cluster,Hydra,12,39.5,-,26,45.0,7.8,12.0,"33,300",True,20.74,172.65,20h09m,4h42m,4.82
26,M80,NGC 6093  ,Globular Cluster,Scorpius,16,17.0,-,22,59.0,7.3,8.9,"27,400",True,3.49,125.42,23h28m,8h37m,8.74
27,M81,NGC 3031 Bode¹s Galaxy,Spiral Galaxy,Ursa Major,9,55.6,+,69,4.0,6.9,21.0,"12,000,000",True,58.07,338.25,---,---,---
28,M83,NGC 5236 Southern Pinwheel Galaxy,Spiral Galaxy,Hydra,13,37.0,-,29,52.0,7.6,11.0,"15,000,000",True,15.18,160.26,21h23m,5h23m,5.5
29,M92,NGC 6341  ,Globular Cluster,Hercules,17,17.1,+,43,8.0,6.4,11.2,"26,400",True,35.46,60.82,19h03m,15h01m,15.14
30,M93,NGC 2447  ,Open Cluster,Puppis,7,44.6,-,23,52.0,6.0,22.0,"3,600",True,0.64,236.7,15h01m,23h58m,0.09
31,M101,NGC 5457 Pinwheel Galaxy,Spiral Galaxy,Ursa Major,14,3.2,+,54,21.0,7.9,22.0,"27,000,000",True,67.64,47.22,---,---,---
32,M103,NGC 581,Open Cluster,Cassiopeia,1,33.2,+,60,42.0,7.4,6.0,"8,000",True,14.35,349.48,---,---,---
33,M104,NGC 4594 Sombrero Galaxy,Spiral Galaxy,Virgo,12,40.0,-,11,37.0,8.0,9.0,"50,000,000",True,35.73,170.55,19h05m,5h47m,5.9
