,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
0,NGC 225,NGC 225,Open Cluster,Cassiopeia,7.0,12.0,0.0,43.4,+,61.0,47.0,,True,42.1,38.17,---,---,---
2,NGC 457,NGC 457,Open Cluster,Cassiopeia,6.4,13.0,1.0,19.1,+,58.0,20.0,,True,36.77,40.7,---,---,---
3,NGC 654,NGC 654,Open Cluster,Cassiopeia,6.5,5.0,1.0,44.1,+,61.0,53.0,,True,35.4,35.12,---,---,---
4,NGC 1342,NGC 1342,Open Cluster,Perseus,6.7,14.0,3.0,31.6,+,37.0,20.0,,True,7.14,44.41,6h15m,0h16m,-7.95
5,NGC 1444,NGC 1444,Open Cluster,Perseus,6.6,4.0,3.0,49.4,+,52.0,40.0,,True,16.62,31.82,---,---,---
6,NGC 1502,NGC 1502,Open Cluster,Camelopardalis,5.7,8.0,4.0,7.7,+,62.0,20.0,,True,22.45,23.21,---,---,---
48,NGC 6242,NGC 6242,Open Cluster,Scorpius,6.4,9.0,16.0,55.6,-,39.0,30.0,,True,1.1,209.75,1h46m,7h32m,-0.69
50,NGC 6322,NGC 6322,Open Cluster,Scorpius,6.0,10.0,17.0,18.5,-,42.0,57.0,,True,0.1,204.36,2h44m,7h21m,-0.87
52,NGC 6425,NGC 6425,Open Cluster,Scorpius,7.2,8.0,17.0,46.9,-,31.0,32.0,,True,12.33,203.5,1h41m,9h20m,1.11
53,NGC 6441,NGC 6441,Globular Cluster,Scorpius,7.4,7.8,17.0,50.2,-,37.0,3.0,,True,7.42,200.94,2h21m,8h47m,0.56
54,NGC 6530,NGC 6530,Open Cluster,Sagittarius,4.6,15.0,18.0,4.8,-,24.0,20.0,,True,20.35,202.15,1h22m,10h14m,2.01
55,NGC 6595,NGC 6595,Open Cluster,Sagittarius,7.0,11.0,18.0,17.0,-,19.0,53.0,,True,25.47,200.59,1h14m,10h47m,2.56
56,NGC 6709,NGC 6709,Open Cluster,Aquila,6.7,13.0,18.0,51.5,+,10.0,21.0,,True,56.8,200.48,23h50m,13h14m,5.01
57,NGC 6716,NGC 6716,Open Cluster,Sagittarius,6.9,7.0,18.0,54.6,-,19.0,53.0,,True,27.37,190.96,1h51m,11h24m,3.18
58,NGC 6723,NGC 6723,Globular Cluster,Sagittarius,7.3,11.0,18.0,59.6,-,36.0,38.0,,True,10.99,187.39,3h27m,9h59m,1.76
59,NGC 6755,NGC 6755,Open Cluster,Aquila,7.5,15.0,19.0,7.8,+,4.0,14.0,,True,51.73,191.46,0h33m,13h08m,4.91
60,NGC 6811,NGC 6811,Open Cluster,Cygnus,6.8,13.0,19.0,38.2,+,46.0,34.0,,True,85.62,1.41,20h16m,18h20m,10.11
61,NGC 6819,NGC 6819,Open Cluster,Cygnus,7.3,5.0,19.0,41.3,+,40.0,11.0,,True,87.97,153.5,21h56m,16h48m,8.58
62,NGC 6823,NGC 6823,Open Cluster,Vulpecula,7.1,12.0,19.0,43.1,+,23.0,18.0,,True,71.24,175.14,23h48m,15h00m,6.78
63,NGC 6885,NGC 6885,Open Cluster,Vulpecula,6.0,7.0,20.0,12.0,+,26.0,29.0,,True,72.86,151.97,0h05m,15h44m,7.51
64,NGC 6910,NGC 6910,Open Cluster,Cygnus,7.4,8.0,20.0,23.1,+,40.0,47.0,,True,81.19,94.02,22h32m,17h36m,9.38
65,NGC 7063,NGC 7063,Open Cluster,Cygnus,7.0,8.0,21.0,24.4,+,36.0,30.0,,True,68.51,95.78,0h15m,17h59m,9.76
66,NGC 7160,NGC 7160,Open Cluster,Cepheus,6.1,7.0,21.0,53.7,+,62.0,36.0,,True,61.26,32.43,---,---,---
67,NGC 7686,NGC 7686,Open Cluster,Andromeda,5.6,15.0,23.0,30.2,+,49.0,8.0,,True,49.64,58.99,---,---,---
68,M2,NGC 7089  ,Globular Cluster,Aquarius,6.5,12.9,21.0,33.5,-,0.0,49.0,"37,500",True,39.73,140.46,3h17m,15h16m,7.05
69,M11,NGC 6705 Wild Duck Cluster,Open Cluster,Scutum,6.3,14.0,18.0,51.1,-,6.0,16.0,"6,000",True,40.64,194.8,0h55m,12h14m,4.01
70,M15,NGC 7078  ,Globular Cluster,Pegasus,6.2,12.3,21.0,30.0,+,12.0,10.0,"33,600",True,51.3,131.92,2h25m,16h00m,7.78
71,M17,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,Sagittarius,7.0,11.0,18.0,20.8,-,16.0,11.0,"5,000",True,29.28,200.78,1h02m,11h06m,2.88
72,M18,NGC 6613  ,Open Cluster,Sagittarius,7.5,9.0,18.0,19.9,-,17.0,8.0,"4,900",True,28.33,200.7,1h05m,11h01m,2.8
73,M21,NGC 6531  ,Open Cluster,Sagittarius,6.5,13.0,18.0,4.6,-,22.0,30.0,"4,250",True,22.1,202.85,1h13m,10h23m,2.16
74,M27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,7.4,8.0,19.0,59.6,+,22.0,43.0,"1,250",True,70.13,164.05,0h11m,15h14m,7.01
75,M28,NGC 6626  ,Globular Cluster,Sagittarius,6.8,11.2,18.0,24.5,-,24.0,52.0,"17,900",True,21.12,197.33,1h44m,10h32m,2.31
76,M29,NGC 6913  ,Open Cluster,Cygnus,7.1,7.0,20.0,23.9,+,38.0,32.0,"4,000",True,80.33,107.05,22h54m,17h15m,9.03
77,M30,NGC 7099  ,Globular Cluster,Capricornus,7.2,11.0,21.0,40.4,-,23.0,11.0,"24,800",True,18.86,149.88,4h51m,13h56m,5.71
79,M52,NGC 7654  ,Open Cluster,Cassiopeia,7.3,13.0,23.0,24.2,+,61.0,35.0,"5,000",True,51.36,39.56,---,---,---
80,M80,NGC 6093  ,Globular Cluster,Scorpius,7.3,8.9,16.0,17.0,-,22.0,59.0,"27,400",True,10.43,225.53,23h24m,8h33m,0.33
81,M92,NGC 6341  ,Globular Cluster,Hercules,6.4,11.2,17.0,17.1,+,43.0,8.0,"26,400",True,64.49,284.25,18h59m,14h57m,6.73
82,M103,NGC 581,Open Cluster,Cassiopeia,7.4,6.0,1.0,33.2,+,60.0,42.0,"8,000",True,36.07,37.15,---,---,---
