,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
0,NGC 1,NGC 1,Galaxy,Pegasus,13.0,1.9,0,7.3,+,27,43,,True,75.22,164.38,4h12m,19h56m,7.17
1,NGC 2,NGC 2,Galaxy,Pegasus,15.0,1.4,0,7.3,+,27,41,,True,75.19,164.38,4h12m,19h56m,7.17
2,NGC 9,NGC 9,Galaxy,Pegasus,15.0,1.5,0,8.9,+,23,49,,True,71.34,165.97,4h33m,19h38m,6.87
3,NGC 12,NGC 12,Galaxy,Pisces,15.0,1.9,0,8.7,+,4,37,,True,52.34,172.12,5h50m,18h21m,5.58
4,NGC 13,NGC 13,Galaxy,Andromeda,14.0,2.7,0,8.8,+,33,26,,True,80.59,154.53,3h40m,20h30m,7.73
5,NGC 14,NGC 14,Galaxy,Pegasus,12.0,3.0,0,8.8,+,15,49,,True,63.46,169.56,5h07m,19h03m,6.28
6,NGC 16,NGC 16,Galaxy,Pegasus,12.0,2.1,0,9.1,+,27,44,,True,75.15,162.84,4h13m,19h58m,7.2
7,NGC 20,NGC 20,Galaxy,Andromeda,15.0,2.0,0,9.5,+,33,19,,True,80.41,153.95,3h42m,20h30m,7.73
8,NGC 23,NGC 23,Galaxy,Pegasus,12.0,2.3,0,9.9,+,25,55,,True,73.35,163.77,4h23m,19h49m,7.05
9,NGC 24,NGC 24,Galaxy,Sculptor,11.5,5.5,0,9.9,-,24,58,,True,22.87,174.96,7h46m,16h26m,3.67
10,NGC 26,NGC 26,Galaxy,Pegasus,14.0,2.2,0,10.4,+,25,50,,True,73.23,163.44,4h24m,19h49m,7.05
11,NGC 29,NGC 29,Galaxy,Andromeda,14.0,1.8,0,10.8,+,33,21,,True,80.35,152.43,3h43m,20h32m,7.77
12,NGC 36,NGC 36,Galaxy,Pisces,15.0,2.4,0,11.4,+,6,23,,True,54.03,170.7,5h46m,18h30m,5.73
13,NGC 40,NGC 40,Planetary Nebula,Cepheus,11.0,0.6,0,13.0,+,72,32,,True,59.39,3.46,---,---,---
14,NGC 45,NGC 45,Galaxy,Cetus,10.4,8.1,0,14.1,-,23,11,,True,24.57,173.78,7h42m,16h39m,3.88
15,NGC 48,NGC 48,Galaxy,Andromeda,15.0,1.7,0,14.0,+,48,14,,True,82.45,32.82,---,---,---
16,NGC 51,NGC 51,Galaxy,Andromeda,15.0,1.8,0,14.6,+,48,15,,True,82.38,33.27,---,---,---
17,NGC 55,NGC 55,Galaxy,Sculptor,8.0,32.0,0,14.9,-,39,11,,True,8.66,175.02,9h21m,15h02m,2.27
18,NGC 63,NGC 63,Galaxy,Pisces,13.0,1.9,0,17.7,+,11,27,,True,58.8,166.52,5h33m,18h55m,6.15
19,NGC 67,NGC 67,Galaxy,Andromeda,16.0,0.4,0,18.2,+,30,4,,True,76.7,151.88,4h10m,20h19m,7.55
20,NGC 68,NGC 68,Galaxy,Andromeda,13.0,1.5,0,18.3,+,30,4,,True,76.7,151.82,4h10m,20h20m,7.57
21,NGC 69,NGC 69,Galaxy,Andromeda,14.8,0.4,0,18.3,+,30,2,,True,76.67,151.84,4h10m,20h19m,7.55
22,NGC 70,NGC 70,Galaxy,Andromeda,15.0,1.7,0,18.4,+,30,5,,True,76.71,151.74,4h10m,20h20m,7.57
23,NGC 71,NGC 71,Galaxy,Andromeda,13.0,1.8,0,18.4,+,30,4,,True,76.69,151.76,4h10m,20h20m,7.57
24,NGC 72,NGC 72,Galaxy,Andromeda,13.4,1.4,0,18.5,+,30,2,,True,76.66,151.73,4h10m,20h20m,7.57
25,NGC 80,NGC 80,Galaxy,Andromeda,12.1,2.5,0,21.2,+,22,21,,True,69.24,158.91,4h52m,19h44m,6.97
26,NGC 83,NGC 83,Galaxy,Andromeda,12.6,1.6,0,21.4,+,22,26,,True,69.3,158.73,4h51m,19h44m,6.97
27,NGC 95,NGC 95,Galaxy,Pisces,12.6,1.9,0,22.2,+,10,30,,True,57.66,164.82,5h41m,18h56m,6.17
28,NGC 99,NGC 99,Galaxy,Pisces,14.0,1.7,0,24.0,+,15,47,,True,62.71,161.64,5h22m,19h18m,6.53
29,NGC 103,NGC 103,Open Cluster,Cassiopeia,9.8,5.0,0,25.3,+,61,21,,True,69.97,12.51,---,---,---
31,NGC 105,NGC 105,Galaxy,Pisces,13.2,1.2,0,25.3,+,12,53,,True,59.83,162.43,5h35m,19h08m,6.37
32,NGC 120,NGC 120,Galaxy,Cetus,15.0,1.8,0,27.5,-,1,31,,True,45.62,166.34,6h30m,18h18m,5.53
34,NGC 124,NGC 124,Galaxy,Cetus,14.0,1.6,0,27.9,-,1,49,,True,45.31,166.28,6h32m,18h17m,5.52
35,NGC 125,NGC 125,Galaxy,Pisces,12.3,2.0,0,28.8,+,2,50,,True,49.83,164.65,6h16m,18h35m,5.82
36,NGC 126,NGC 126,Galaxy,Pisces,16.0,1.4,0,29.1,+,2,49,,True,49.79,164.54,6h16m,18h35m,5.82
37,NGC 127,NGC 127,Galaxy,Pisces,14.0,1.0,0,29.2,+,2,52,,True,49.85,164.5,6h16m,18h35m,5.82
38,NGC 128,NGC 128,Galaxy,Pisces,11.6,3.4,0,29.2,+,2,51,,True,49.84,164.48,6h16m,18h35m,5.82
39,NGC 129,NGC 129,Open Cluster,Cassiopeia,6.5,21.0,0,29.9,+,60,14,,True,70.8,15.39,---,---,---
40,NGC 130,NGC 130,Galaxy,Pisces,14.3,0.9,0,29.3,+,2,52,,True,49.84,164.46,6h16m,18h35m,5.82
41,NGC 132,NGC 132,Galaxy,Cetus,14.0,2.0,0,30.2,+,2,6,,True,49.04,164.37,6h20m,18h33m,5.78
42,NGC 133,NGC 133,Open Cluster,Cassiopeia,9.0,7.0,0,31.2,+,63,22,,True,67.83,12.41,---,---,---
43,NGC 134,NGC 134,Galaxy,Sculptor,10.1,8.1,0,30.4,-,33,15,,True,14.2,171.19,8h52m,16h01m,3.25
44,NGC 145,NGC 145,Galaxy,Cetus,12.8,1.8,0,31.7,-,5,9,,True,41.85,165.8,6h48m,18h09m,5.38
45,NGC 146,NGC 146,Open Cluster,Cassiopeia,9.1,7.0,0,33.1,+,63,18,,True,67.81,13.0,---,---,---
46,NGC 147,NGC 147,Galaxy,Cassiopeia,9.3,12.0,0,33.2,+,48,30,,True,79.97,46.14,---,---,---
47,NGC 148,NGC 148,Galaxy,Sculptor,12.1,2.4,0,34.3,-,31,47,,True,15.52,170.13,8h47m,16h14m,3.47
48,NGC 150,NGC 150,Galaxy,Sculptor,11.1,4.2,0,34.3,-,27,48,,True,19.44,169.5,8h25m,16h36m,3.83
49,NGC 151,NGC 151,Galaxy,Cetus,11.5,3.7,0,34.0,-,9,42,,True,37.28,166.15,7h07m,17h54m,5.13
50,NGC 157,NGC 157,Galaxy,Cetus,10.4,4.3,0,34.8,-,8,24,,True,38.53,165.62,7h03m,18h00m,5.23
51,NGC 160,NGC 160,Galaxy,Andromeda,12.4,3.2,0,36.1,+,23,57,,True,69.5,148.21,4h59m,20h06m,7.33
52,NGC 163,NGC 163,Galaxy,Cetus,12.8,1.4,0,36.0,-,10,7,,True,36.78,165.65,7h10m,17h55m,5.15
53,NGC 165,NGC 165,Galaxy,Cetus,13.2,1.6,0,36.5,-,10,6,,True,36.77,165.5,7h11m,17h55m,5.15
