ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
M1,NGC 1952 Crab Nebula,Supernova Remnant,Taurus,8.4,6.0,5,34.5,+,22,1.0,"6,300"
M2,NGC 7089  ,Globular Cluster,Aquarius,6.5,12.9,21,33.5,-,0,49.0,"37,500"
M3,NGC 5272  ,Globular Cluster,Canes Venatici,6.2,16.2,13,42.2,+,28,23.0,"33,900"
M4,NGC 6121  ,Globular Cluster,Scorpius,5.6,26.3,16,23.6,-,26,32.0,"7,200"
M5,NGC 5904  ,Globular Cluster,Serpens Caput,5.6,17.4,15,18.6,+,2,5.0,"24,500"
M6,NGC 6405 Butterfly Cluster,Open Cluster,Scorpius,5.3,25.0,17,40.1,-,32,13.0,"2,000"
M7,NGC 6475 Ptolemy¹s Cluster,Open Cluster,Scorpius,4.1,80.0,17,53.9,-,34,49.0,800
M8,NGC 6523 Lagoon Nebula,Diffuse Nebula,Sagittarius,6.0,90.0,18,3.8,-,24,23.0,"5,200"
M9,NGC 6333  ,Globular Cluster,Ophiucus,7.7,9.3,17,19.2,-,18,31.0,"26,700"
M10,NGC 6254  ,Globular Cluster,Ophiucus,6.6,15.1,16,57.1,-,4,6.0,"14,400"
M11,NGC 6705 Wild Duck Cluster,Open Cluster,Scutum,6.3,14.0,18,51.1,-,6,16.0,"6,000"
M12,NGC 6218  ,Globular Cluster,Ophiucus,6.7,14.5,16,47.2,-,1,57.0,"16,000"
M13,NGC 6205 Hercules Globular Cluster,Globular Cluster,Hercules,5.8,16.6,16,41.7,+,36,28.0,"22,800"
M14,NGC 6402  ,Globular Cluster,Ophiucus,7.6,11.7,17,37.6,-,3,15.0,"27,400"
M15,NGC 7078  ,Globular Cluster,Pegasus,6.2,12.3,21,30.0,+,12,10.0,"33,600"
M16,NGC 6611 Eagle Nebula Cluster,Open Cluster,Serpens Claudia,6.4,7.0,18,18.8,-,13,47.0,"7,000"
M17,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,Sagittarius,7.0,11.0,18,20.8,-,16,11.0,"5,000"
M18,NGC 6613  ,Open Cluster,Sagittarius,7.5,9.0,18,19.9,-,17,8.0,"4,900"
M19,NGC 6273  ,Globular Cluster,Ophiucus,6.8,13.5,17,2.6,-,26,16.0,"27,100"
M20,NGC 6514 Trifid Nebula,Diffuse Nebula,Sagittarius,9.0,28.0,18,2.3,-,23,2.0,"5,200"
M21,NGC 6531  ,Open Cluster,Sagittarius,6.5,13.0,18,4.6,-,22,30.0,"4,250"
M22,NGC 6656  ,Globular Cluster,Sagittarius,5.1,24.0,18,36.4,-,23,54.0,"10,100"
M23,NGC 6494  ,Open Cluster,Sagittarius,6.9,27.0,17,56.8,-,19,1.0,"2,150"
M24,NGC 6603 Milky Way Patch,Star Cloud,Sagittarius,4.6,90.0,18,18.4,-,18,25.0,"10,000"
M25,IC 4725,Open Cluster,Sagittarius,6.5,40.0,18,31.7,-,19,14.0,"2,000"
M26,NGC 6694  ,Open Cluster,Scutum,8.0,15.0,18,45.2,-,9,24.0,"5,000"
M27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,7.4,8.0,19,59.6,+,22,43.0,"1,250"
