ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
1,NGC 1,Galaxy,Pegasus,13.0,1.9,0,7.3,+,27,43,
2,NGC 2,Galaxy,Pegasus,15.0,1.4,0,7.3,+,27,41,
9,NGC 9,Galaxy,Pegasus,15.0,1.5,0,8.9,+,23,49,
12,NGC 12,Galaxy,Pisces,15.0,1.9,0,8.7,+,4,37,
13,NGC 13,Galaxy,Andromeda,14.0,2.7,0,8.8,+,33,26,
14,NGC 14,Galaxy,Pegasus,12.0,3.0,0,8.8,+,15,49,
16,NGC 16,Galaxy,Pegasus,12.0,2.1,0,9.1,+,27,44,
20,NGC 20,Galaxy,Andromeda,15.0,2.0,0,9.5,+,33,19,
21,NGC 21,Galaxy,Andromeda,14.0,1.4,0,10.7,+,32,59,
23,NGC 23,Galaxy,Pegasus,12.0,2.3,0,9.9,+,25,55,
24,NGC 24,Galaxy,Sculptor,11.5,5.5,0,9.9,-,24,58,
26,NGC 26,Galaxy,Pegasus,14.0,2.2,0,10.4,+,25,50,
29,NGC 29,Galaxy,Andromeda,14.0,1.8,0,10.8,+,33,21,
36,NGC 36,Galaxy,Pisces,15.0,2.4,0,11.4,+,6,23,
40,NGC 40,Planetary Nebula,Cepheus,11.0,0.6,0,13.0,+,72,32,
45,NGC 45,Galaxy,Cetus,10.4,8.1,0,14.1,-,23,11,
48,NGC 48,Galaxy,Andromeda,15.0,1.7,0,14.0,+,48,14,
51,NGC 51,Galaxy,Andromeda,15.0,1.8,0,14.6,+,48,15,
55,NGC 55,Galaxy,Sculptor,8.0,32.0,0,14.9,-,39,11,
63,NGC 63,Galaxy,Pisces,13.0,1.9,0,17.7,+,11,27,
67,NGC 67,Galaxy,Andromeda,16.0,0.4,0,18.2,+,30,4,
68,NGC 68,Galaxy,Andromeda,13.0,1.5,0,18.3,+,30,4,
69,NGC 69,Galaxy,Andromeda,14.8,0.4,0,18.3,+,30,2,
70,NGC 70,Galaxy,Andromeda,15.0,1.7,0,18.4,+,30,5,
71,NGC 71,Galaxy,Andromeda,13.0,1.8,0,18.4,+,30,4,
72,NGC 72,Galaxy,Andromeda,13.4,1.4,0,18.5,+,30,2,
80,NGC 80,Galaxy,Andromeda,12.1,2.5,0,21.2,+,22,21,
82,NGC 82,Galaxy,Andromeda,14.0,1.3,0,21.4,+,22,26,
83,NGC 83,Galaxy,Andromeda,12.6,1.6,0,21.4,+,22,26,
91,NGC 91,Galaxy,Andromeda,15.0,2.5,0,21.8,+,22,25,
95,NGC 95,Galaxy,Pisces,12.6,1.9,0,22.2,+,10,30,
99,NGC 99,Galaxy,Pisces,14.0,1.7,0,24.0,+,15,47,
103,NGC 103,Open Cluster,Cassiopeia,9.8,5.0,0,25.3,+,61,21,
104,NGC 104,Globular Cluster,Tucana,4.0,30.0,0,24.1,-,72,5,
105,NGC 105,Galaxy,Pisces,13.2,1.2,0,25.3,+,12,53,
120,NGC 120,Galaxy,Cetus,15.0,1.8,0,27.5,-,1,31,
121,NGC 121,Globular Cluster,Tucana,10.6,1.5,0,26.8,-,71,32,
124,NGC 124,Galaxy,Cetus,14.0,1.6,0,27.9,-,1,49,
125,NGC 125,Galaxy,Pisces,12.3,2.0,0,28.8,+,2,50,
126,NGC 126,Galaxy,Pisces,16.0,1.4,0,29.1,+,2,49,
127,NGC 127,Galaxy,Pisces,14.0,1.0,0,29.2,+,2,52,
128,NGC 128,Galaxy,Pisces,11.6,3.4,0,29.2,+,2,51,
129,NGC 129,Open Cluster,Cassiopeia,6.5,21.0,0,29.9,+,60,14,
130,NGC 130,Galaxy,Pisces,14.3,0.9,0,29.3,+,2,52,
132,NGC 132,Galaxy,Cetus,14.0,2.0,0,30.2,+,2,6,
133,NGC 133,Open Cluster,Cassiopeia,9.0,7.0,0,31.2,+,63,22,
134,NGC 134,Galaxy,Sculptor,10.1,8.1,0,30.4,-,33,15,
145,NGC 145,Galaxy,Cetus,12.8,1.8,0,31.7,-,5,9,
146,NGC 146,Open Cluster,Cassiopeia,9.1,7.0,0,33.1,+,63,18,
147,NGC 147,Galaxy,Cassiopeia,9.3,12.0,0,33.2,+,48,30,
148,NGC 148,Galaxy,Sculptor,12.1,2.4,0,34.3,-,31,47,
150,NGC 150,Galaxy,Sculptor,11.1,4.2,0,34.3,-,27,48,
151,NGC 151,Galaxy,Cetus,11.5,3.7,0,34.0,-,9,42,
157,NGC 157,Galaxy,Cetus,10.4,4.3,0,34.8,-,8,24,
160,NGC 160,Galaxy,Andromeda,12.4,3.2,0,36.1,+,23,57,
163,NGC 163,Galaxy,Cetus,12.8,1.4,0,36.0,-,10,7,
165,NGC 165,Galaxy,Cetus,13.2,1.6,0,36.5,-,10,6,
169,NGC 169,Galaxy,Andromeda,13.0,3.0,0,36.9,+,23,59,
173,NGC 173,Galaxy,Cetus,15.0,3.5,0,37.2,+,1,56,
