ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
NGC 1,NGC 1,Galaxy,Pegasus,13.0,1.9,0,7.3,+,27,43,
NGC 2,NGC 2,Galaxy,Pegasus,15.0,1.4,0,7.3,+,27,41,
NGC 9,NGC 9,Galaxy,Pegasus,15.0,1.5,0,8.9,+,23,49,
NGC 12,NGC 12,Galaxy,Pisces,15.0,1.9,0,8.7,+,4,37,
NGC 13,NGC 13,Galaxy,Andromeda,14.0,2.7,0,8.8,+,33,26,
NGC 14,NGC 14,Galaxy,Pegasus,12.0,3.0,0,8.8,+,15,49,
NGC 16,NGC 16,Galaxy,Pegasus,12.0,2.1,0,9.1,+,27,44,
NGC 20,NGC 20,Galaxy,Andromeda,15.0,2.0,0,9.5,+,33,19,
NGC 23,NGC 23,Galaxy,Pegasus,12.0,2.3,0,9.9,+,25,55,
NGC 24,NGC 24,Galaxy,Sculptor,11.5,5.5,0,9.9,-,24,58,
NGC 26,NGC 26,Galaxy,Pegasus,14.0,2.2,0,10.4,+,25,50,
NGC 29,NGC 29,Galaxy,Andromeda,14.0,1.8,0,10.8,+,33,21,
NGC 36,NGC 36,Galaxy,Pisces,15.0,2.4,0,11.4,+,6,23,
NGC 40,NGC 40,Planetary Nebula,Cepheus,11.0,0.6,0,13.0,+,72,32,
NGC 45,NGC 45,Galaxy,Cetus,10.4,8.1,0,14.1,-,23,11,
NGC 48,NGC 48,Galaxy,Andromeda,15.0,1.7,0,14.0,+,48,14,
NGC 51,NGC 51,Galaxy,Andromeda,15.0,1.8,0,14.6,+,48,15,
NGC 55,NGC 55,Galaxy,Sculptor,8.0,32.0,0,14.9,-,39,11,
NGC 63,NGC 63,Galaxy,Pisces,13.0,1.9,0,17.7,+,11,27,
NGC 67,NGC 67,Galaxy,Andromeda,16.0,0.4,0,18.2,+,30,4,
NGC 68,NGC 68,Galaxy,Andromeda,13.0,1.5,0,18.3,+,30,4,
NGC 69,NGC 69,Galaxy,Andromeda,14.8,0.4,0,18.3,+,30,2,
NGC 70,NGC 70,Galaxy,Andromeda,15.0,1.7,0,18.4,+,30,5,
NGC 71,NGC 71,Galaxy,Andromeda,13.0,1.8,0,18.4,+,30,4,
NGC 72,NGC 72,Galaxy,Andromeda,13.4,1.4,0,18.5,+,30,2,
NGC 80,NGC 80,Galaxy,Andromeda,12.1,2.5,0,21.2,+,22,21,
NGC 83,NGC 83,Galaxy,Andromeda,12.6,1.6,0,21.4,+,22,26,
NGC 95,NGC 95,Galaxy,Pisces,12.6,1.9,0,22.2,+,10,30,
NGC 99,NGC 99,Galaxy,Pisces,14.0,1.7,0,24.0,+,15,47,
NGC 103,NGC 103,Open Cluster,Cassiopeia,9.8,5.0,0,25.3,+,61,21,
NGC 104,NGC 104,Globular Cluster,Tucana,4.0,30.0,0,24.1,-,72,5,
NGC 105,NGC 105,Galaxy,Pisces,13.2,1.2,0,25.3,+,12,53,
NGC 120,NGC 120,Galaxy,Cetus,15.0,1.8,0,27.5,-,1,31,
NGC 121,NGC 121,Globular Cluster,Tucana,10.6,1.5,0,26.8,-,71,32,
NGC 124,NGC 124,Galaxy,Cetus,14.0,1.6,0,27.9,-,1,49,
NGC 125,NGC 125,Galaxy,Pisces,12.3,2.0,0,28.8,+,2,50,
NGC 126,NGC 126,Galaxy,Pisces,16.0,1.4,0,29.1,+,2,49,
NGC 127,NGC 127,Galaxy,Pisces,14.0,1.0,0,29.2,+,2,52,
NGC 128,NGC 128,Galaxy,Pisces,11.6,3.4,0,29.2,+,2,51,
NGC 129,NGC 129,Open Cluster,Cassiopeia,6.5,21.0,0,29.9,+,60,14,
NGC 130,NGC 130,Galaxy,Pisces,14.3,0.9,0,29.3,+,2,52,
NGC 132,NGC 132,Galaxy,Cetus,14.0,2.0,0,30.2,+,2,6,
NGC 133,NGC 133,Open Cluster,Cassiopeia,9.0,7.0,0,31.2,+,63,22,
NGC 134,NGC 134,Galaxy,Sculptor,10.1,8.1,0,30.4,-,33,15,
NGC 145,NGC 145,Galaxy,Cetus,12.8,1.8,0,31.7,-,5,9,
NGC 146,NGC 146,Open Cluster,Cassiopeia,9.1,7.0,0,33.1,+,63,18,
NGC 147,NGC 147,Galaxy,Cassiopeia,9.3,12.0,0,33.2,+,48,30,
NGC 148,NGC 148,Galaxy,Sculptor,12.1,2.4,0,34.3,-,31,47,
NGC 150,NGC 150,Galaxy,Sculptor,11.1,4.2,0,34.3,-,27,48,
NGC 151,NGC 151,Galaxy,Cetus,11.5,3.7,0,34.0,-,9,42,
NGC 157,NGC 157,Galaxy,Cetus,10.4,4.3,0,34.8,-,8,24,
NGC 160,NGC 160,Galaxy,Andromeda,12.4,3.2,0,36.1,+,23,57,
NGC 163,NGC 163,Galaxy,Cetus,12.8,1.4,0,36.0,-,10,7,
NGC 165,NGC 165,Galaxy,Cetus,13.2,1.6,0,36.5,-,10,6,
NGC 169,NGC 169,Galaxy,Andromeda,13.0,3.0,0,36.9,+,23,59,
NGC 173,NGC 173,Galaxy,Cetus,15.0,3.5,0,37.2,+,1,56,
NGC 175,NGC 175,Galaxy,Cetus,12.1,2.6,0,37.4,-,19,56,
NGC 178,NGC 178,Galaxy,Cetus,12.6,2.0,0,39.1,-,14,10,
NGC 180,NGC 180,Galaxy,Pisces,14.0,2.6,0,38.0,+,8,38,
NGC 182,NGC 182,Galaxy,Pisces,12.6,2.3,0,38.2,+,2,44,
NGC 185,NGC 185,Galaxy,Cassiopeia,9.2,11.0,0,39.0,+,48,20,
NGC 188,NGC 188,Open Cluster,Cepheus,8.1,14.0,0,44.0,+,85,20,
NGC 189,NGC 189,Open Cluster,Cassiopeia,8.8,4.0,0,39.6,+,61,4,
NGC 190,NGC 190,Galaxy,Pisces,14.0,1.0,0,38.9,+,7,2,
NGC 191,NGC 191,Galaxy,Cetus,12.0,1.5,0,39.0,-,9,0,
NGC 192,NGC 192,Galaxy,Cetus,14.0,2.3,0,39.3,+,0,51,
NGC 193,NGC 193,Galaxy,Pisces,12.3,1.7,0,39.3,+,3,20,
NGC 194,NGC 194,Galaxy,Pisces,12.1,1.9,0,39.3,+,3,2,
NGC 198,NGC 198,Galaxy,Pisces,12.8,1.3,0,39.4,+,2,48,
NGC 200,NGC 200,Galaxy,Pisces,14.0,2.0,0,39.6,+,2,53,
NGC 201,NGC 201,Galaxy,Cetus,15.0,2.2,0,39.7,+,0,51,
NGC 210,NGC 210,Galaxy,Cetus,10.9,5.4,0,40.6,-,13,52,
NGC 214,NGC 214,Galaxy,Andromeda,12.2,2.1,0,41.5,+,25,30,
NGC 216,NGC 216,Galaxy,Cetus,13.3,1.8,0,41.4,-,21,3,
NGC 225,NGC 225,Open Cluster,Cassiopeia,7.0,12.0,0,43.4,+,61,47,
NGC 227,NGC 227,Galaxy,Cetus,13.0,2.1,0,42.6,-,1,32,
NGC 237,NGC 237,Galaxy,Cetus,14.0,1.8,0,43.5,-,0,7,
NGC 244,NGC 244,Galaxy,Cetus,13.3,1.3,0,45.8,-,15,36,
NGC 245,NGC 245,Galaxy,Cetus,13.0,1.4,0,46.1,-,1,44,
NGC 246,NGC 246,Planetary Nebula,Cetus,8.0,3.8,0,47.0,-,11,53,
NGC 247,NGC 247,Galaxy,Cetus,8.9,20.0,0,47.1,-,20,46,
NGC 252,NGC 252,Galaxy,Andromeda,13.0,1.8,0,48.0,+,27,38,
NGC 253,NGC 253,Galaxy,Sculptor,7.1,25.0,0,47.6,-,25,17,
NGC 254,NGC 254,Galaxy,Sculptor,11.8,2.1,0,47.5,-,31,25,
NGC 255,NGC 255,Galaxy,Cetus,11.8,3.1,0,47.8,-,11,28,
NGC 257,NGC 257,Galaxy,Pisces,14.0,2.1,0,48.1,+,8,19,
NGC 260,NGC 260,Galaxy,Andromeda,14.0,1.0,0,48.6,+,27,42,
NGC 262,NGC 262,Galaxy,Andromeda,15.0,1.4,0,48.8,+,31,57,
NGC 266,NGC 266,Galaxy,Pisces,13.0,3.2,0,49.8,+,32,16,
NGC 268,NGC 268,Galaxy,Cetus,13.0,1.7,0,50.2,-,5,12,
NGC 271,NGC 271,Galaxy,Cetus,13.0,2.5,0,50.8,-,1,53,
NGC 273,NGC 273,Galaxy,Cetus,13.0,2.6,0,50.8,-,6,53,
