,name,alt_name,ra,dec,vmag,multiple,class,bii,lii,parallax,distance,absmag
0,HR 7228,SigOct,21 08 46.20,-88 57 23.0,5.47,,STARF0III,-27.7134,303.905,,294.0995290325711,-1.8724716451684769
1,HR 8294,,22 45 28.61,-88 49 05.9,6.57,,STARF0IV,-28.1341,303.632,,337.98588362396,-1.0744928091953128
2,HR 5491,,15 28 19.10,-88 07 59.2,6.48,,STARA0,-25.6758,304.242,,212.47972488411818,-0.1565874768482498
3,HR 6721,ChiOct,18 54 46.90,-87 36 20.9,5.28,,STARK3III,-27.1375,305.622,,257.2211180576667,-1.7715331081857082
4,HR 6133,,17 15 59.30,-87 33 59.0,6.57,,STARG5III,-26.122,305.411,,643.3064648858409,-2.472089579247596
5,HR 8862,TauOct,23 28 03.70,-87 28 55.9,5.49,,STARK2III,-29.4774,303.961,,483.19463362536504,-2.930610511759152
6,HR 2848,,06 46 58.70,-87 01 30.0,6.47,,STARF3V,-27.1464,299.589,,126.90909638020288,0.9525362407421953
7,HR 6139,,17 00 58.49,-86 21 51.8,6.04,,STARA2V,-25.3981,306.498,,624.8206469293513,-2.9387768609029665
8,HR 4709,,12 25 37.49,-86 09 02.2,6.33,,STARK0III,-23.3023,302.461,,1101.8796543821668,-3.880670820619585
9,HR 8505,UpsOct,22 31 37.39,-85 58 01.9,5.77,,STARK0III,-30.408,305.61,,340.45550907841476,-1.8903018305215546
10,HR 5084,KapOct,13 40 55.49,-85 47 10.0,5.58,,STARA0,-23.0088,303.912,,277.10822234249906,-1.6332470616971033
11,HR 3678,ZetOct,08 56 41.09,-85 39 47.2,5.42,,STARA8IV,-24.8156,298.85,,156.2051617323378,-0.5484769042631541
12,HR 4595,,12 02 20.11,-85 37 54.1,6.05,W,STARK3III,-22.8561,301.925,,334.862810777332,-1.5743345915212013
13,HR 1271,,03 42 32.11,-85 15 43.9,6.41,W,STARB9IV,-30.5561,299.197,0.008,481.0566042730404,-2.0009809065789597
14,HR 6552,,18 01 34.10,-85 12 52.9,6.45,,STARF5IV,-25.9996,308.132,,253.62082247054536,-0.5709245329732608
15,HR 4870,IotOct,12 54 58.61,-85 07 23.9,5.46,W,STARK0III,-22.252,303.013,,371.05389954166253,-2.3871850005454176
16,HR 47  ,,00 13 19.39,-84 59 39.1,5.77,,STARM0III,-32.0615,303.909,,791.641693439615,-3.722643295748604
17,HR 8129,,21 32 04.20,-84 48 36.0,6.45,,STARK3III,-30.3999,307.529,,669.725621554664,-2.679484569841107
18,HR 5557,OmeOct,15 11 08.30,-84 47 15.0,5.91,,STARB9V,-22.8179,306.167,,335.8974023657275,-1.721033226374253
19,HR 2059,,05 30 13.90,-84 47 06.0,6.2,,STARB9IV,-28.8267,297.348,,401.1763563310226,-1.816676647943937
20,HR 525 ,,01 37 28.01,-84 46 10.9,5.69,,STARG8III,-32.2479,301.7,,339.7462267678348,-1.965773210716434
21,HR 4312,EtaOct,10 59 13.80,-84 35 38.0,6.19,,STARA1V,-22.3309,300.186,,356.8450521850344,-1.572398397245121
22,HR 5729,RhoOct,15 43 16.80,-84 27 55.1,5.57,,STARA2V,-23.0191,307.027,,215.1427293516632,-1.0936333694341034
23,HR 5339,DelOct,14 26 54.89,-83 40 04.1,4.32,,STARK2III,-21.3114,305.678,,298.9517669084522,-3.0580056229725674
24,HR 6964,,18 51 57.89,-83 18 59.0,7.16,,STARK1III,-26.9442,310.434,,913.6032988714885,-2.6437882953533105
25,HR 7698,,20 24 54.41,-83 18 38.2,6.17,,STARA0,-29.6037,309.996,,246.7143552928301,-0.7909721001661705
26,HR 6138,,16 45 53.59,-83 14 20.0,6.57,,STARK4III,-23.4684,309.222,,956.4703158273354,-3.333357480951788
27,HR 5525,Pi1Oct,15 01 50.81,-83 13 40.1,5.65,,STARG8III,-21.3699,306.844,,383.2624884807537,-2.267481575491338
28,HR 4507,,11 41 01.20,-83 06 00.0,6.33,W,STARK0III,-20.5342,300.708,,359.99600187320243,-1.45148838753021
29,HR 5545,Pi2Oct,15 04 46.70,-83 02 17.9,5.65,,STARG8I,-21.2536,307.03,,1418.0712073787886,-5.108490195826313
30,HR 512 ,,01 37 55.61,-82 58 30.0,5.87,,STARG2V,-33.9988,301.229,,87.16097747117087,1.1683895399056778
31,HR 1485,,04 22 50.90,-82 53 57.1,6.76,W,STARA7IV,-31.2599,296.313,,326.15637769712134,-0.8071293759142772
32,HR 5327,,14 24 23.30,-82 50 55.0,6.42,,STARB8V,-20.5257,305.938,,956.4703158273354,-3.4833574809517884
33,HR 8280,LamOct,21 50 54.31,-82 43 09.1,5.29,W,STARG8III,-32.1323,309.021,0.011,435.4557779667842,-2.9047202874169455
34,HR 8176,,21 33 54.41,-82 40 59.2,6.38,,STARB3IV,-31.7395,309.459,,950.8932294376717,-3.510658775700424
35,HR 5188,,13 55 38.71,-82 39 58.0,5.95,,STARK2III,-20.0642,305.085,,862.8475600452947,-3.7296703767281514
36,HR 1716,XiMen,04 58 50.90,-82 28 14.2,5.85,,STARG8III,-30.4685,295.228,,336.5906890579168,-1.7855104906604513
37,HR 30  ,Gam3Oct,00 10 02.09,-82 13 26.0,5.28,,STARG8III,-34.7675,304.628,,258.8542680135884,-1.7852766503264617
