|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |bii      |lii      |parallax|
|HR 7228|Sig Oct   |21 08 46.20|-88 57 23.0| 5.47|        |                                         STAR F0III|-27.71340|303.90500|        |
|HR 8294|          |22 45 28.61|-88 49 05.9| 6.57|        |                                          STAR F0IV|-28.13410|303.63200|        |
|HR 5491|          |15 28 19.10|-88 07 59.2| 6.48|        |                                            STAR A0|-25.67580|304.24200|        |
|HR 6721|Chi Oct   |18 54 46.90|-87 36 20.9| 5.28|        |                                         STAR K3III|-27.13750|305.62200|        |
|HR 6133|          |17 15 59.30|-87 33 59.0| 6.57|        |                                         STAR G5III|-26.12200|305.41100|        |
|HR 8862|Tau Oct   |23 28 03.70|-87 28 55.9| 5.49|        |                                         STAR K2III|-29.47740|303.96100|        |
|HR 2848|          |06 46 58.70|-87 01 30.0| 6.47|        |                                           STAR F3V|-27.14640|299.58900|        |
|HR 6139|          |17 00 58.49|-86 21 51.8| 6.04|        |                                           STAR A2V|-25.39810|306.49800|        |
|HR 4709|          |12 25 37.49|-86 09 02.2| 6.33|        |                                         STAR K0III|-23.30230|302.46100|        |
|HR 8505|Ups Oct   |22 31 37.39|-85 58 01.9| 5.77|        |                                         STAR K0III|-30.40800|305.61000|        |
|HR 5084|Kap Oct   |13 40 55.49|-85 47 10.0| 5.58|        |                                            STAR A0|-23.00880|303.91200|        |
|HR 3678|Zet Oct   |08 56 41.09|-85 39 47.2| 5.42|        |                                          STAR A8IV|-24.81560|298.85000|        |
|HR 4595|          |12 02 20.11|-85 37 54.1| 6.05|W       |                                         STAR K3III|-22.85610|301.92500|        |
|HR 1271|          |03 42 32.11|-85 15 43.9| 6.41|W       |                                          STAR B9IV|-30.55610|299.19700|0.008   |
|HR 6552|          |18 01 34.10|-85 12 52.9| 6.45|        |                                          STAR F5IV|-25.99960|308.13200|        |
|HR 4870|Iot Oct   |12 54 58.61|-85 07 23.9| 5.46|W       |                                         STAR K0III|-22.25200|303.01300|        |
|HR 47  |          |00 13 19.39|-84 59 39.1| 5.77|        |                                         STAR M0III|-32.06150|303.90900|        |
|HR 8129|          |21 32 04.20|-84 48 36.0| 6.45|        |                                         STAR K3III|-30.39990|307.52900|        |
|HR 5557|Ome Oct   |15 11 08.30|-84 47 15.0| 5.91|        |                                           STAR B9V|-22.81790|306.16700|        |
|HR 2059|          |05 30 13.90|-84 47 06.0| 6.20|        |                                          STAR B9IV|-28.82670|297.34800|        |
|HR 525 |          |01 37 28.01|-84 46 10.9| 5.69|        |                                         STAR G8III|-32.24790|301.70000|        |
|HR 4312|Eta Oct   |10 59 13.80|-84 35 38.0| 6.19|        |                                           STAR A1V|-22.33090|300.18600|        |
|HR 5729|Rho Oct   |15 43 16.80|-84 27 55.1| 5.57|        |                                           STAR A2V|-23.01910|307.02700|        |
|HR 5339|Del Oct   |14 26 54.89|-83 40 04.1| 4.32|        |                                         STAR K2III|-21.31140|305.67800|        |
|HR 6964|          |18 51 57.89|-83 18 59.0| 7.16|        |                                         STAR K1III|-26.94420|310.43400|        |
|HR 7698|          |20 24 54.41|-83 18 38.2| 6.17|        |                                            STAR A0|-29.60370|309.99600|        |
|HR 6138|          |16 45 53.59|-83 14 20.0| 6.57|        |                                         STAR K4III|-23.46840|309.22200|        |
|HR 5525|Pi 1Oct   |15 01 50.81|-83 13 40.1| 5.65|        |                                         STAR G8III|-21.36990|306.84400|        |
|HR 4507|          |11 41 01.20|-83 06 00.0| 6.33|W       |                                         STAR K0III|-20.53420|300.70800|        |
|HR 5545|Pi 2Oct   |15 04 46.70|-83 02 17.9| 5.65|        |                                           STAR G8I|-21.25360|307.03000|        |
|HR 512 |          |01 37 55.61|-82 58 30.0| 5.87|        |                                           STAR G2V|-33.99880|301.22900|        |
|HR 1485|          |04 22 50.90|-82 53 57.1| 6.76|W       |                                          STAR A7IV|-31.25990|296.31300|        |
|HR 5327|          |14 24 23.30|-82 50 55.0| 6.42|        |                                           STAR B8V|-20.52570|305.93800|        |
|HR 8280|Lam Oct   |21 50 54.31|-82 43 09.1| 5.29|W       |                                         STAR G8III|-32.13230|309.02100|0.011   |
|HR 8176|          |21 33 54.41|-82 40 59.2| 6.38|        |                                          STAR B3IV|-31.73950|309.45900|        |
|HR 5188|          |13 55 38.71|-82 39 58.0| 5.95|        |                                         STAR K2III|-20.06420|305.08500|        |
|HR 1716|Xi  Men   |04 58 50.90|-82 28 14.2| 5.85|        |                                         STAR G8III|-30.46850|295.22800|        |
|HR 30  |Gam3Oct   |00 10 02.09|-82 13 26.0| 5.28|        |                                         STAR G8III|-34.76750|304.62800|        |
|HR 3983|Mu 1Cha   |10 00 43.70|-82 12 52.9| 5.52|        |                                          STAR A0IV|-21.29350|297.27600|        |
|HR 9061|Gam2Oct   |23 57 32.71|-82 10 12.0| 5.73|        |                                         STAR K0III|-34.72520|305.14500|        |
